run_number,scenario,total_time_seconds,composer_time,phpstan_time,phpcs_time,phpunit_time,coverage_percent,tests_total,tests_passed,tests_failed,status
20,baseline,23,N/A,N/A,N/A,N/A,N/A,89,89,0,success
22,clean-build-expanded,22,N/A,N/A,N/A,N/A,N/A,209,209,0,success
24,clean-build-expanded,27,2,5,1,18,91.65,209,209,0,success
28,heavy-composer,30,N/A,N/A,N/A,N/A,N/A,209,209,0,success
30,heavy-composer,28,2,5,1,18,91.65,209,209,0,success
31,heavy-phpstan,29,2,6,1,18,66.63,209,209,0,success
32,heavy-phpcs,26,2,3,1,18,72.65,209,209,0,success
33,heavy-phpunit,38,2,1,1,N/A,N/A,439,384,55,failure
34,heavy-phpunit,34,2,1,1,N/A,N/A,439,414,25,failure
35,heavy-phpunit,33,2,1,1,27,92.13,439,439,0,success
36,full-heavy,39,2,7,1,27,56.27,439,439,0,success
37,intentional-failures,8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure
